title,date,category,author,views,sentiment_score
"AI Revolution: How Machine Learning is Transforming Healthcare",2024-01-15,Technology,"Dr. Sarah Chen",15420,0.8
"Climate Change Summit Reaches Historic Agreement",2024-01-16,Environment,"Michael Rodriguez",23150,0.6
"Stock Market Hits Record High Amid Economic Recovery",2024-01-17,Finance,"Emma Thompson",18900,0.7
"New Study Reveals Benefits of Remote Work on Productivity",2024-01-18,Business,"David Park",12300,0.5
"Breakthrough in Quantum Computing Could Change Everything",2024-01-19,Technology,"Prof. Lisa Wong",19800,0.9
"Global Food Crisis: Solutions for Sustainable Agriculture",2024-01-20,Environment,"Carlos Mendez",14200,0.3
"Cryptocurrency Market Faces Regulatory Challenges",2024-01-21,Finance,"Alex Johnson",16700,0.2
"Mental Health Awareness: Breaking the Stigma",2024-01-22,Health,"Dr. Maria Santos",21400,0.4
"Space Exploration: Mars Mission Updates",2024-01-23,Science,"Robert Kim",25600,0.8
"Education Technology Trends in 2024",2024-01-24,Education,"Jennifer Liu",13500,0.6
"Renewable Energy Adoption Accelerates Globally",2024-01-25,Environment,"Ahmed Hassan",17800,0.7
"Artificial Intelligence Ethics: Key Considerations",2024-01-26,Technology,"Dr. Rachel Green",14900,0.5
"Economic Inflation Impact on Small Businesses",2024-01-27,Finance,"John Davis",11200,0.1
"Healthcare Innovation: Telemedicine Growth",2024-01-28,Health,"Dr. Kevin Lee",18600,0.6
"Social Media's Impact on Youth Mental Health",2024-01-29,Health,"Dr. Angela White",22300,0.2
"Sustainable Fashion: Industry Transformation",2024-01-30,Lifestyle,"Sophie Martin",16400,0.5
"Cybersecurity Threats Rise in Digital Age",2024-01-31,Technology,"Mark Taylor",19100,0.1
"Urban Planning for Smart Cities",2024-02-01,Urban,"Dr. Nina Patel",15700,0.6
"Electric Vehicle Market Expansion",2024-02-02,Automotive,"James Wilson",20500,0.7
"Gene Therapy Breakthrough Shows Promise",2024-02-03,Health,"Dr. Steven Chang",17200,0.8 